dataset,case_id,label,split,sample_group,claim_characters,claim_whitespace_tokens,evidence_characters,evidence_whitespace_tokens,evidence_units,rendered_prompt_characters
VitaminC-Mixed,67,conflicting,vitaminc-validation,mixed-composite,51,12,342,65,2,2366
VitaminC-Mixed,68,conflicting,vitaminc-validation,mixed-composite,94,15,610,134,2,2677
VitaminC-Mixed,69,conflicting,vitaminc-validation,mixed-composite,122,24,220,42,2,2315
VitaminC-Mixed,70,conflicting,vitaminc-validation,mixed-composite,73,16,240,52,2,2286
VitaminC-Mixed,71,conflicting,vitaminc-validation,mixed-composite,58,11,244,45,2,2275
VitaminC-Mixed,72,conflicting,vitaminc-validation,mixed-composite,62,13,237,45,2,2272
VitaminC-Mixed,73,conflicting,vitaminc-validation,mixed-composite,74,12,237,40,2,2284
VitaminC-Mixed,74,conflicting,vitaminc-validation,mixed-composite,44,9,523,93,2,2540
VitaminC-Mixed,75,conflicting,vitaminc-validation,mixed-composite,46,9,305,55,2,2324
VitaminC-Mixed,76,conflicting,vitaminc-validation,mixed-composite,63,12,133,30,2,2169
VitaminC-Mixed,77,conflicting,vitaminc-validation,mixed-composite,36,8,212,44,2,2221
VitaminC-Mixed,78,conflicting,vitaminc-validation,mixed-composite,72,13,176,38,2,2221
VitaminC-Mixed,79,conflicting,vitaminc-validation,mixed-composite,86,13,397,69,2,2456
VitaminC-Mixed,80,conflicting,vitaminc-validation,mixed-composite,52,10,486,86,2,2511
VitaminC-Mixed,81,conflicting,vitaminc-validation,mixed-composite,63,12,445,73,2,2481
VitaminC-Mixed,82,conflicting,vitaminc-validation,mixed-composite,121,25,444,88,2,2538
VitaminC-Mixed,83,conflicting,vitaminc-validation,mixed-composite,51,12,272,52,2,2296
VitaminC-Mixed,84,conflicting,vitaminc-validation,mixed-composite,85,15,186,32,2,2244
VitaminC-Mixed,85,conflicting,vitaminc-validation,mixed-composite,86,17,318,54,2,2377
VitaminC-Mixed,86,conflicting,vitaminc-validation,mixed-composite,38,5,257,49,2,2268
VitaminC-Mixed,87,conflicting,vitaminc-validation,mixed-composite,35,7,275,56,2,2283
VitaminC-Mixed,88,conflicting,vitaminc-validation,mixed-composite,57,10,335,63,2,2365
VitaminC-Mixed,89,conflicting,vitaminc-validation,mixed-composite,104,18,300,48,2,2377
VitaminC-Mixed,90,conflicting,vitaminc-validation,mixed-composite,48,9,241,39,2,2262
VitaminC-Mixed,91,conflicting,vitaminc-validation,mixed-composite,88,20,326,70,2,2387
VitaminC-Mixed,92,conflicting,vitaminc-validation,mixed-composite,78,13,140,24,2,2191
VitaminC-Mixed,93,conflicting,vitaminc-validation,mixed-composite,49,10,199,37,2,2221
VitaminC-Mixed,94,conflicting,vitaminc-validation,mixed-composite,74,13,324,56,2,2371
VitaminC-Mixed,95,conflicting,vitaminc-validation,mixed-composite,105,19,297,53,2,2375
VitaminC-Mixed,96,conflicting,vitaminc-validation,mixed-composite,87,15,669,125,2,2729
VitaminC-Mixed,97,conflicting,vitaminc-validation,mixed-composite,90,17,402,80,2,2465
VitaminC-Mixed,98,conflicting,vitaminc-validation,mixed-composite,69,12,283,51,2,2325
VitaminC-Mixed,99,conflicting,vitaminc-validation,mixed-composite,94,20,332,68,2,2399
VitaminC-Mixed,100,support,vitaminc-validation,pure-supports,69,13,56,11,1,2098
VitaminC-Mixed,101,support,vitaminc-validation,pure-supports,119,18,110,19,1,2202
VitaminC-Mixed,102,support,vitaminc-validation,pure-supports,54,9,110,20,1,2137
VitaminC-Mixed,103,support,vitaminc-validation,pure-supports,95,17,101,19,1,2169
VitaminC-Mixed,104,support,vitaminc-validation,pure-supports,36,7,131,26,1,2140
VitaminC-Mixed,105,support,vitaminc-validation,pure-supports,29,6,154,26,1,2156
VitaminC-Mixed,106,support,vitaminc-validation,pure-supports,47,8,93,18,1,2113
VitaminC-Mixed,107,support,vitaminc-validation,pure-supports,41,7,166,25,1,2180
VitaminC-Mixed,108,support,vitaminc-validation,pure-supports,31,6,145,25,1,2149
VitaminC-Mixed,109,support,vitaminc-validation,pure-supports,66,11,100,18,1,2139
VitaminC-Mixed,110,support,vitaminc-validation,pure-supports,79,15,136,28,1,2188
VitaminC-Mixed,111,support,vitaminc-validation,pure-supports,69,14,112,20,1,2154
VitaminC-Mixed,112,support,vitaminc-validation,pure-supports,75,14,188,34,1,2236
VitaminC-Mixed,113,support,vitaminc-validation,pure-supports,49,9,173,32,1,2195
VitaminC-Mixed,114,support,vitaminc-validation,pure-supports,73,14,135,27,1,2181
VitaminC-Mixed,115,support,vitaminc-validation,pure-supports,66,12,148,26,1,2187
VitaminC-Mixed,116,support,vitaminc-validation,pure-supports,107,20,328,53,1,2408
VitaminC-Mixed,117,support,vitaminc-validation,pure-supports,73,16,162,30,1,2208
VitaminC-Mixed,118,support,vitaminc-validation,pure-supports,114,20,178,32,1,2265
VitaminC-Mixed,119,support,vitaminc-validation,pure-supports,49,11,144,27,1,2166
VitaminC-Mixed,120,support,vitaminc-validation,pure-supports,18,5,100,19,1,2091
VitaminC-Mixed,121,support,vitaminc-validation,pure-supports,55,13,65,12,1,2093
VitaminC-Mixed,122,support,vitaminc-validation,pure-supports,53,10,80,15,1,2106
VitaminC-Mixed,123,support,vitaminc-validation,pure-supports,79,13,173,31,1,2225
VitaminC-Mixed,124,support,vitaminc-validation,pure-supports,28,4,134,23,1,2135
VitaminC-Mixed,125,support,vitaminc-validation,pure-supports,43,10,115,23,1,2131
VitaminC-Mixed,126,support,vitaminc-validation,pure-supports,54,11,107,24,1,2134
VitaminC-Mixed,127,support,vitaminc-validation,pure-supports,72,14,137,28,1,2182
VitaminC-Mixed,128,support,vitaminc-validation,pure-supports,68,13,322,57,1,2363
VitaminC-Mixed,129,support,vitaminc-validation,pure-supports,59,12,111,24,1,2143
VitaminC-Mixed,130,support,vitaminc-validation,pure-supports,18,5,128,23,1,2119
VitaminC-Mixed,131,support,vitaminc-validation,pure-supports,87,15,192,36,1,2252
VitaminC-Mixed,132,support,vitaminc-validation,pure-supports,77,14,67,13,1,2117
VitaminC-Mixed,133,support,vitaminc-validation,pure-supports,29,5,80,15,1,2082
VitaminC-Mixed,134,support,vitaminc-validation,pure-supports,44,9,105,21,1,2122
VitaminC-Mixed,135,support,vitaminc-validation,pure-supports,38,7,213,32,1,2224
VitaminC-Mixed,136,support,vitaminc-validation,pure-supports,31,7,125,24,1,2129
VitaminC-Mixed,137,support,vitaminc-validation,pure-supports,31,7,69,14,1,2073
VitaminC-Mixed,138,support,vitaminc-validation,pure-supports,86,15,135,28,1,2194
VitaminC-Mixed,139,support,vitaminc-validation,pure-supports,64,12,202,38,1,2239
VitaminC-Mixed,140,support,vitaminc-validation,pure-supports,68,12,137,22,1,2178
VitaminC-Mixed,141,support,vitaminc-validation,pure-supports,77,14,141,25,1,2191
VitaminC-Mixed,142,support,vitaminc-validation,pure-supports,58,11,188,33,1,2219
VitaminC-Mixed,143,support,vitaminc-validation,pure-supports,91,20,235,48,1,2299
VitaminC-Mixed,144,support,vitaminc-validation,pure-supports,92,19,119,24,1,2184
VitaminC-Mixed,145,support,vitaminc-validation,pure-supports,37,8,376,66,1,2386
VitaminC-Mixed,146,support,vitaminc-validation,pure-supports,30,8,131,26,1,2134
VitaminC-Mixed,147,support,vitaminc-validation,pure-supports,41,8,202,38,1,2216
VitaminC-Mixed,148,support,vitaminc-validation,pure-supports,88,16,138,27,1,2199
VitaminC-Mixed,149,support,vitaminc-validation,pure-supports,50,10,42,9,1,2065
VitaminC-Mixed,150,refute,vitaminc-validation,pure-refutes,69,13,126,21,1,2168
VitaminC-Mixed,151,refute,vitaminc-validation,pure-refutes,22,5,220,38,1,2215
VitaminC-Mixed,152,refute,vitaminc-validation,pure-refutes,49,10,76,17,1,2098
VitaminC-Mixed,153,refute,vitaminc-validation,pure-refutes,59,12,93,19,1,2125
VitaminC-Mixed,154,refute,vitaminc-validation,pure-refutes,54,9,226,40,1,2253
VitaminC-Mixed,155,refute,vitaminc-validation,pure-refutes,56,10,66,13,1,2095
VitaminC-Mixed,156,refute,vitaminc-validation,pure-refutes,49,8,150,30,1,2172
VitaminC-Mixed,157,refute,vitaminc-validation,pure-refutes,87,15,115,22,1,2175
VitaminC-Mixed,158,refute,vitaminc-validation,pure-refutes,49,9,56,12,1,2078
VitaminC-Mixed,159,refute,vitaminc-validation,pure-refutes,44,7,134,26,1,2151
VitaminC-Mixed,160,refute,vitaminc-validation,pure-refutes,82,15,90,17,1,2145
VitaminC-Mixed,161,refute,vitaminc-validation,pure-refutes,74,16,107,24,1,2154
VitaminC-Mixed,162,refute,vitaminc-validation,pure-refutes,59,11,101,24,1,2133
VitaminC-Mixed,163,refute,vitaminc-validation,pure-refutes,49,8,99,15,1,2121
VitaminC-Mixed,164,refute,vitaminc-validation,pure-refutes,38,8,149,31,1,2160
VitaminC-Mixed,165,refute,vitaminc-validation,pure-refutes,28,6,154,29,1,2155
VitaminC-Mixed,166,refute,vitaminc-validation,pure-refutes,53,10,68,12,1,2094
VitaminC-Mixed,167,refute,vitaminc-validation,pure-refutes,40,8,56,10,1,2069
VitaminC-Mixed,168,refute,vitaminc-validation,pure-refutes,38,6,168,32,1,2179
VitaminC-Mixed,169,refute,vitaminc-validation,pure-refutes,70,14,211,43,1,2254
VitaminC-Mixed,170,refute,vitaminc-validation,pure-refutes,47,8,155,29,1,2175
VitaminC-Mixed,171,refute,vitaminc-validation,pure-refutes,44,7,110,21,1,2127
VitaminC-Mixed,172,refute,vitaminc-validation,pure-refutes,36,7,224,39,1,2233
VitaminC-Mixed,173,refute,vitaminc-validation,pure-refutes,53,8,182,37,1,2208
VitaminC-Mixed,174,refute,vitaminc-validation,pure-refutes,120,22,89,16,1,2182
VitaminC-Mixed,175,refute,vitaminc-validation,pure-refutes,48,10,115,21,1,2136
VitaminC-Mixed,176,refute,vitaminc-validation,pure-refutes,31,6,171,37,1,2175
VitaminC-Mixed,177,refute,vitaminc-validation,pure-refutes,48,8,276,51,1,2297
VitaminC-Mixed,178,refute,vitaminc-validation,pure-refutes,41,9,169,33,1,2183
VitaminC-Mixed,179,refute,vitaminc-validation,pure-refutes,61,12,273,50,1,2307
VitaminC-Mixed,180,refute,vitaminc-validation,pure-refutes,31,6,231,43,1,2235
VitaminC-Mixed,181,refute,vitaminc-validation,pure-refutes,83,14,137,22,1,2193
VitaminC-Mixed,182,refute,vitaminc-validation,pure-refutes,82,14,115,21,1,2170
VitaminC-Mixed,183,refute,vitaminc-validation,pure-refutes,62,12,197,38,1,2232
VitaminC-Mixed,184,refute,vitaminc-validation,pure-refutes,62,13,125,22,1,2160
VitaminC-Mixed,185,refute,vitaminc-validation,pure-refutes,84,15,259,47,1,2316
VitaminC-Mixed,186,refute,vitaminc-validation,pure-refutes,60,11,112,18,1,2145
VitaminC-Mixed,187,refute,vitaminc-validation,pure-refutes,57,11,124,27,1,2154
VitaminC-Mixed,188,refute,vitaminc-validation,pure-refutes,45,9,123,23,1,2141
VitaminC-Mixed,189,refute,vitaminc-validation,pure-refutes,79,14,258,42,1,2310
VitaminC-Mixed,190,refute,vitaminc-validation,pure-refutes,72,14,252,47,1,2297
VitaminC-Mixed,191,refute,vitaminc-validation,pure-refutes,34,7,71,12,1,2078
VitaminC-Mixed,192,refute,vitaminc-validation,pure-refutes,55,11,165,33,1,2193
VitaminC-Mixed,193,refute,vitaminc-validation,pure-refutes,26,7,231,37,1,2230
VitaminC-Mixed,194,refute,vitaminc-validation,pure-refutes,58,11,80,14,1,2111
VitaminC-Mixed,195,refute,vitaminc-validation,pure-refutes,43,7,153,29,1,2169
VitaminC-Mixed,196,refute,vitaminc-validation,pure-refutes,52,11,193,33,1,2218
VitaminC-Mixed,197,refute,vitaminc-validation,pure-refutes,148,28,168,34,1,2289
VitaminC-Mixed,198,refute,vitaminc-validation,pure-refutes,48,9,68,14,1,2089
VitaminC-Mixed,199,refute,vitaminc-validation,pure-refutes,29,7,66,13,1,2068
VitaminC-Mixed,200,insufficient,vitaminc-validation,pure-nei,76,16,98,22,1,2147
VitaminC-Mixed,201,insufficient,vitaminc-validation,pure-nei,144,20,110,17,1,2227
VitaminC-Mixed,202,insufficient,vitaminc-validation,pure-nei,66,11,65,11,1,2104
VitaminC-Mixed,203,insufficient,vitaminc-validation,pure-nei,88,16,91,18,1,2152
VitaminC-Mixed,204,insufficient,vitaminc-validation,pure-nei,153,29,111,18,1,2237
VitaminC-Mixed,205,insufficient,vitaminc-validation,pure-nei,54,9,225,38,1,2252
VitaminC-Mixed,206,insufficient,vitaminc-validation,pure-nei,85,16,59,12,1,2117
VitaminC-Mixed,207,insufficient,vitaminc-validation,pure-nei,87,17,106,22,1,2166
VitaminC-Mixed,208,insufficient,vitaminc-validation,pure-nei,51,11,130,26,1,2154
VitaminC-Mixed,209,insufficient,vitaminc-validation,pure-nei,68,14,89,18,1,2130
VitaminC-Mixed,210,insufficient,vitaminc-validation,pure-nei,142,25,176,30,1,2291
VitaminC-Mixed,211,insufficient,vitaminc-validation,pure-nei,47,8,324,59,1,2344
VitaminC-Mixed,212,insufficient,vitaminc-validation,pure-nei,108,20,118,17,1,2199
VitaminC-Mixed,213,insufficient,vitaminc-validation,pure-nei,101,18,104,16,1,2178
VitaminC-Mixed,214,insufficient,vitaminc-validation,pure-nei,42,8,198,36,1,2213
VitaminC-Mixed,215,insufficient,vitaminc-validation,pure-nei,75,14,91,18,1,2139
VitaminC-Mixed,216,insufficient,vitaminc-validation,pure-nei,81,13,120,25,1,2174
VitaminC-Mixed,217,insufficient,vitaminc-validation,pure-nei,109,21,91,15,1,2173
VitaminC-Mixed,218,insufficient,vitaminc-validation,pure-nei,126,22,101,19,1,2200
VitaminC-Mixed,219,insufficient,vitaminc-validation,pure-nei,83,16,90,20,1,2146
VitaminC-Mixed,220,insufficient,vitaminc-validation,pure-nei,47,8,57,10,1,2077
VitaminC-Mixed,221,insufficient,vitaminc-validation,pure-nei,105,19,270,49,1,2348
VitaminC-Mixed,222,insufficient,vitaminc-validation,pure-nei,110,19,95,16,1,2178
VitaminC-Mixed,223,insufficient,vitaminc-validation,pure-nei,40,7,146,29,1,2159
VitaminC-Mixed,224,insufficient,vitaminc-validation,pure-nei,92,19,84,16,1,2149
VitaminC-Mixed,225,insufficient,vitaminc-validation,pure-nei,52,11,124,22,1,2149
VitaminC-Mixed,226,insufficient,vitaminc-validation,pure-nei,145,29,92,19,1,2210
VitaminC-Mixed,227,insufficient,vitaminc-validation,pure-nei,151,30,124,25,1,2248
VitaminC-Mixed,228,insufficient,vitaminc-validation,pure-nei,124,22,181,33,1,2278
VitaminC-Mixed,229,insufficient,vitaminc-validation,pure-nei,107,16,318,54,1,2398
VitaminC-Mixed,230,insufficient,vitaminc-validation,pure-nei,61,13,132,25,1,2166
VitaminC-Mixed,231,insufficient,vitaminc-validation,pure-nei,72,14,175,36,1,2220
VitaminC-Mixed,232,insufficient,vitaminc-validation,pure-nei,88,18,137,27,1,2198
VitaminC-Mixed,233,insufficient,vitaminc-validation,pure-nei,124,23,89,18,1,2186
VitaminC-Mixed,234,insufficient,vitaminc-validation,pure-nei,51,11,233,45,1,2257
VitaminC-Mixed,235,insufficient,vitaminc-validation,pure-nei,60,13,94,17,1,2127
VitaminC-Mixed,236,insufficient,vitaminc-validation,pure-nei,54,11,104,19,1,2131
VitaminC-Mixed,237,insufficient,vitaminc-validation,pure-nei,138,20,91,14,1,2202
VitaminC-Mixed,238,insufficient,vitaminc-validation,pure-nei,87,17,387,71,1,2447
VitaminC-Mixed,239,insufficient,vitaminc-validation,pure-nei,33,6,81,16,1,2087
VitaminC-Mixed,240,insufficient,vitaminc-validation,pure-nei,155,27,203,32,1,2331
VitaminC-Mixed,241,insufficient,vitaminc-validation,pure-nei,69,11,114,20,1,2156
VitaminC-Mixed,242,insufficient,vitaminc-validation,pure-nei,123,22,112,22,1,2208
VitaminC-Mixed,243,insufficient,vitaminc-validation,pure-nei,61,13,73,13,1,2107
VitaminC-Mixed,244,insufficient,vitaminc-validation,pure-nei,88,18,175,32,1,2236
VitaminC-Mixed,245,insufficient,vitaminc-validation,pure-nei,28,6,112,22,1,2113
VitaminC-Mixed,246,insufficient,vitaminc-validation,pure-nei,85,15,66,13,1,2124
VitaminC-Mixed,247,insufficient,vitaminc-validation,pure-nei,75,12,156,31,1,2204
VitaminC-Mixed,248,insufficient,vitaminc-validation,pure-nei,132,22,144,28,1,2249
VitaminC-Mixed,249,insufficient,vitaminc-validation,pure-nei,49,10,87,20,1,2109
